SAC,SAC_aggr,SAC_aggr_wb,PPO,PPO_aggr,PPO_aggr_wb,TQC_aggr_wb,Lap no,,Algo name,timesteps
32.84,28.64,25.94,30.43,35.54,40,30.09,1,,SAC safe,6177
29.72,26.38,25.56,31.51,38.77,40,29.2,2,,SAC agg,5356
28.88,27.63,24.33,31.22,38.63,40,28.01,3,,SAC agg wb,4925
32.62,26.6,23.82,29.66,38.69,40,27.06,4,,PPO safe,17314
30.75,27.12,25.04,28.82,34.03,40,28.4,5,,PPO agg,25866
30.64,27.28,23.66,31.47,39.15,40,28.01,6,,PPO agg wb,50000
31.68,25.5,24.03,30.94,39.19,40,27.89,7,,TQC agg wb,6534
29.86,26.04,24.27,30.96,35.13,40,27.4,8,,,
31.66,27.41,24.5,30.38,33.5,40,28.13,9,,,
30.99,26.48,25.9,31.08,34.73,40,27.68,10,,,
