time/total_timesteps,eval/mean_reward,eval/mean_ep_length,time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/clip_fraction,train/n_updates,train/clip_range,train/entropy_loss,train/learning_rate,train/approx_kl,train/std,train/explained_variance,train/value_loss,train/policy_gradient_loss
1000,19.00087303293476,161.0,,,,,,,,,,,,,,,,
2000,18.958397084189347,161.0,,,,,,,,,,,,,,,,
2048,,,1,30,67,58.52547933333333,157.91666666666666,,,,,,,,,,,
3000,54.121947253620604,155.0,,,,,,1.241660237312317,0.145849609375,10,0.2,-2.8267417803406714,0.0003,0.00946342,0.9918546676635742,-0.01560509204864502,4.609779332205653,-0.007631241262424737
4000,54.01705722873012,155.2,,,,,,,,,,,,,,,,
4096,,,2,29,137,58.23995800000001,148.11111111111111,,,,,,,,,,,
5000,43.74858980029312,95.2,,,,,,0.781650960445404,0.141015625,20,0.2,-2.8074525564908983,0.0003,0.015874125,0.9774796962738037,0.4587995409965515,4.889768909290433,-0.006494648283114657
6000,43.28501326725018,94.2,,,,,,,,,,,,,,,,
6144,,,3,30,199,69.96212627499999,152.2,,,,,,,,,,,
7000,75.84808777787475,136.6,,,,,,1.37251615524292,0.198583984375,30,0.2,-2.7947492629289625,0.0003,0.015832774,0.9783436059951782,0.6268010437488556,7.492022890597582,-0.0060712277248967435
8000,76.19337680336757,137.0,,,,,,,,,,,,,,,,
8192,,,4,30,267,70.81911883333333,150.44444444444446,,,,,,,,,,,
9000,151.05620325371274,196.6,,,,,,1.3758180141448975,0.2484375,40,0.2,-2.7920381754636763,0.0003,0.021981942,0.9780587553977966,0.5434416234493256,7.212382542714477,-0.00461734029231593
10000,151.7408964516013,194.8,,,,,,,,,,,,,,,,
10240,,,5,30,339,76.23014199999999,151.26865671641792,,,,,,,,,,,
11000,132.80123045172076,171.2,,,,,,2.2169699668884277,0.193701171875,50,0.2,-2.7873023986816405,0.0003,0.018015008,0.9703459739685059,0.7079443037509918,11.32938281521201,-0.0065348413307219745
12000,135.00935193872502,174.4,,,,,,,,,,,,,,,,
12288,,,6,29,412,77.99505160240965,147.97590361445782,,,,,,,,,,,
13000,123.36868527057595,162.0,,,,,,2.8286678791046143,0.25859375,60,0.2,-2.7759935706853867,0.0003,0.015350045,0.9681306481361389,0.7934575229883194,11.856306907534599,-0.002131592243677005
14000,123.51057283214467,161.6,,,,,,,,,,,,,,,,
14336,,,7,29,480,82.07300018947369,149.34736842105264,,,,,,,,,,,
15000,115.28830328616387,133.4,,,,,,3.558493137359619,0.249658203125,70,0.2,-2.7756651274859907,0.0003,0.021483272,0.9711464643478394,0.8149780333042145,10.691363091766835,-0.005972421629121527
16000,116.61917715904856,134.8,,,,,,,,,,,,,,,,
16384,,,8,29,547,87.1998889,147.92,,,,,,,,,,,
17000,157.34255079946888,206.8,,,,,,2.2296676635742188,0.27470703125,80,0.2,-2.775082430243492,0.0003,0.038072407,0.9669984579086304,0.8730602711439133,7.194443771243096,-0.007269067337620072
18000,156.98771514200925,205.8,,,,,,,,,,,,,,,,
18432,,,9,29,620,93.22105284999996,149.85,,,,,,,,,,,
19000,132.34118877434156,186.2,,,,,,2.0890748500823975,0.328857421875,90,0.2,-2.7730944737792016,0.0003,0.022802997,0.9692684412002563,0.8196816891431808,13.444128055870532,-0.004010032731457613
20000,131.9381133598181,185.8,,,,,,,,,,,,,,,,
20480,,,10,29,692,95.88549393,149.11,,,,,,,,,,,
21000,122.31507488512725,120.6,,,,,,5.133522987365723,0.2982421875,100,0.2,-2.779546917229891,0.0003,0.042351928,0.9727464318275452,0.7690567374229431,19.459304152429105,-0.004773519566515461
22000,123.34509319536009,122.2,,,,,,,,,,,,,,,,
22528,,,11,29,756,102.36835012,151.69,,,,,,,,,,,
23000,124.91339700986937,106.2,,,,,,8.348451614379883,0.2638671875,110,0.2,-2.7812599055469036,0.0003,0.025700448,0.971433162689209,0.7751061022281647,19.686056345701218,-0.008565741847269237
24000,123.76566871992254,106.2,,,,,,,,,,,,,,,,
24576,,,12,29,825,103.22039175,146.27,,,,,,,,,,,
25000,142.03619461932976,125.8,,,,,,11.012328147888184,0.291943359375,120,0.2,-2.782249313592911,0.0003,0.03262966,0.9734164476394653,0.7319886088371277,34.894297909736636,-0.01626092559308745
26000,141.96913875408936,125.0,,,,,,,,,,,,,,,,
26624,,,13,29,890,108.67135881000002,148.6,,,,,,,,,,,
27000,127.93687707836652,111.2,,,,,,7.981197834014893,0.366455078125,130,0.2,-2.783875272423029,0.0003,0.03703942,0.9740981459617615,0.6869656443595886,30.07075555920601,0.0057099579455098136
28000,128.02243678913874,111.4,,,,,,,,,,,,,,,,
28672,,,14,30,952,115.00804523000001,152.47,,,,,,,,,,,
29000,175.16301947937464,194.0,,,,,,4.530749797821045,0.325732421875,140,0.2,-2.784854831546545,0.0003,0.048806824,0.9721500873565674,0.7655234932899475,28.847833938896656,-0.008010935847414658
30000,176.208052712927,193.4,,,,,,,,,,,,,,,,
30720,,,15,30,1021,120.13127656000002,154.79,,,,,,,,,,,
31000,212.89676355271075,123.6,,,,,,1.9889901876449585,0.335498046875,150,0.2,-2.7755585297942162,0.0003,0.029112259,0.9654817581176758,0.8813269212841988,13.885670755803584,0.009724077591090462
32000,185.70083007516368,109.4,,,,,,,,,,,,,,,,
32768,,,16,30,1087,128.51743668999998,152.87,,,,,,,,,,,
33000,215.5636816130165,127.0,,,,,,10.38855266571045,0.309716796875,160,0.2,-2.760378199070692,0.0003,0.043192267,0.9588086605072021,0.8813414201140404,37.47264778614044,-0.002581836050376296
34000,217.32912609121922,128.8,,,,,,,,,,,,,,,,
34816,,,17,30,1153,139.10730809999998,154.6,,,,,,,,,,,
35000,123.38784828860517,94.2,,,,,,14.09632682800293,0.2802734375,170,0.2,-2.757719540596008,0.0003,0.025917605,0.9655040502548218,0.8949143886566162,36.42275266945362,0.0026090008032042533
36000,123.61157955672824,94.0,,,,,,,,,,,,,,,,
36864,,,18,30,1219,141.04897278,148.69,,,,,,,,,,,
37000,196.96928818464076,161.0,,,,,,37.52233123779297,0.346337890625,180,0.2,-2.765384606271982,0.0003,0.0408369,0.9643480181694031,0.6295530200004578,76.58957351446152,-0.005838542670244351
38000,168.63503342184777,137.8,,,,,,,,,,,,,,,,
38912,,,19,30,1287,146.67927667999996,152.26,,,,,,,,,,,
39000,214.07703099779974,157.6,,,,,,8.206501007080078,0.3142578125,190,0.2,-2.756383644044399,0.0003,0.038213484,0.9550030827522278,0.7349036037921906,53.313564798235895,-0.0037143986904993654
40000,211.3134457232445,156.6,,,,,,,,,,,,,,,,
40960,,,20,30,1353,156.27095598999998,157.95,,,,,,,,,,,
41000,205.08979291007853,184.2,,,,,,9.921893119812012,0.331298828125,200,0.2,-2.742539892345667,0.0003,0.043306734,0.9528782963752747,0.8750583678483963,26.82530436962843,0.004114945713081397
42000,192.58898618395034,172.2,,,,,,,,,,,,,,,,
43000,204.91372813858396,179.8,,,,,,,,,,,,,,,,
43008,,,21,29,1441,154.40431150999999,155.76,,,,,,,,,,,
44000,210.94235329276563,161.6,,,,,,16.097076416015625,0.302978515625,210,0.2,-2.7370042189955712,0.0003,0.03534302,0.9497755169868469,0.7714729160070419,53.66317876577377,-0.0035000568444957026
45000,208.87269478868038,155.0,,,,,,,,,,,,,,,,
45056,,,22,29,1506,158.39161751999998,155.83,,,,,,,,,,,
46000,209.8459777680211,151.0,,,,,,10.203319549560547,0.368505859375,220,0.2,-2.714818249642849,0.0003,0.0390924,0.9303236603736877,0.8248645067214966,32.891733640432356,-0.00043133491271873936
47000,211.7982575217182,156.6,,,,,,,,,,,,,,,,
47104,,,23,29,1570,162.08953347,158.76,,,,,,,,,,,
