eval/mean_reward,time/total_timesteps,eval/mean_ep_length,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/entropy_loss,train/learning_rate,train/loss,train/std
397.8660742648652,113000,252.8,,,,,,,,,,,,,,,,
442.97724264281203,114000,279.6,,,,,,,,,,,,,,,,
,114048,,302.55029640999993,1,252.19,71,28,,,,,,,,,,,
496.9778862866988,115000,373.0,,,,,,550,0.8649060428142548,0.005804203939624131,0.2,0.494482421875,18.462540117278696,0.13211955,-2.78394847586751,0.0003,1.8844108581542969,0.9832020998001099
595.2744872158925,116000,383.0,,,,,,,,,,,,,,,,
,116096,,304.24485675999995,2,252.96,157,26,,,,,,,,,,,
355.32064187771977,117000,277.2,,,,,,560,0.8143472820520401,-0.003989371983334422,0.2,0.46806640625,42.13953139781952,0.07953055,-2.792970299720764,0.0003,5.52107048034668,0.9763597249984741
478.45180381763055,118000,363.2,,,,,,,,,,,,,,,,
,118144,,301.54408155,3,254.53,235,26,,,,,,,,,,,
468.83265213349443,119000,296.6,,,,,,570,0.8635578155517578,0.0010330084769520909,0.2,0.49091796875,27.135310861468316,0.06471541,-2.78979956433177,0.0003,2.388169765472412,0.9804879426956177
375.88512215774244,120000,220.8,,,,,,,,,,,,,,,,
,120192,,302.76853184,4,252.13,308,26,,,,,,,,,,,
332.4514533227193,121000,166.8,,,,,,580,0.8127239793539047,-0.0025344353372929616,0.2,0.48798828125,34.922511383891106,0.08253288,-2.8008811973035335,0.0003,4.370110034942627,0.9850764274597168
438.39829464365687,122000,221.4,,,,,,,,,,,,,,,,
,122240,,310.35909965,5,252.49,374,27,,,,,,,,,,,
425.0518444448513,123000,218.4,,,,,,590,0.8920728787779808,0.02156207127845846,0.2,0.547021484375,28.974551169574262,0.28745726,-2.8091241173446178,0.0003,2.320735454559326,0.991965651512146
404.19178431842954,124000,191.8,,,,,,,,,,,,,,,,
,124288,,303.82220996,6,237.39,445,27,,,,,,,,,,,
336.628996505047,125000,168.0,,,,,,600,0.9052426144480705,0.014253038421156817,0.2,0.5046875,42.061660489439966,0.099079296,-2.8244665652513503,0.0003,8.477676391601562,0.9953900575637817
332.3783132981829,126000,165.6,,,,,,,,,,,,,,,,
,126336,,321.95480110000005,7,235.63,513,27,,,,,,,,,,,
311.4736365286728,127000,144.4,,,,,,610,0.9190990775823593,0.0005146820622030646,0.2,0.474951171875,27.444700334966182,0.07904003,-2.835511350631714,0.0003,3.5405144691467285,1.0015437602996826
330.1190594256215,128000,154.0,,,,,,,,,,,,,,,,
,128384,,333.71377307,8,227.73,580,28,,,,,,,,,,,
