eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,train/std,train/entropy_loss,train/loss,train/n_updates,train/explained_variance,train/clip_range,train/value_loss,train/approx_kl,train/clip_fraction,train/learning_rate,train/policy_gradient_loss
161.0,8.97491360875756,1000,,,,,,,,,,,,,,,,
161.0,8.850617573057026,2000,,,,,,,,,,,,,,,,
,,2048,88.27663755555555,32,1,200.77777777777777,63,,,,,,,,,,,
161.0,47.61286816022876,3000,,,,,,0.9843807816505432,-2.824305967241526,0.4475405812263489,10,-0.0014535188674926758,0.2,3.5542079121805727,0.0054093283,0.115869140625,0.0003,-0.0023247995719430036
161.0,47.80788041394917,4000,,,,,,,,,,,,,,,,
,,4096,76.90085086956523,30,2,170.08695652173913,133,,,,,,,,,,,
157.0,124.86861530238893,5000,,,,,,0.9839336276054382,-2.806418241560459,5.452912330627441,20,0.6565265953540802,0.2,7.195052128657698,0.023839338,0.199072265625,0.0003,-0.0060705768395564515
157.4,125.1367280562994,6000,,,,,,,,,,,,,,,,
,,6144,84.74218489189191,30,3,165.56756756756758,203,,,,,,,,,,,
191.0,116.37174882087602,7000,,,,,,0.979333758354187,-2.8006814382970333,4.236996173858643,30,0.7326244115829468,0.2,10.788318920135499,0.022408385,0.200048828125,0.0003,-0.005959577381145209
190.2,116.49856389699816,8000,,,,,,,,,,,,,,,,
,,8192,86.5984843,29,4,162.16,275,,,,,,,,,,,
122.2,134.60235761671757,9000,,,,,,0.9793850779533386,-2.7936063379049303,2.617431640625,40,0.8133902251720428,0.2,11.24293968603015,0.019461574,0.21240234375,0.0003,-0.004226071041193791
123.0,134.7100437056426,10000,,,,,,,,,,,,,,,,
,,10240,93.90048334375,29,5,158.625,341,,,,,,,,,,,
142.6,137.75766400014035,11000,,,,,,0.9749038219451904,-2.7914017125964166,2.0576632022857666,50,0.8901082053780556,0.2,9.212448588013649,0.02007465,0.2595703125,0.0003,-5.080775590613484e-05
145.2,138.3285929717171,12000,,,,,,,,,,,,,,,,
,,12288,101.67688836363638,30,6,159.54545454545453,408,,,,,,,,,,,
