train/actor_loss,train/n_updates,train/ent_coef,time/total_timesteps,train/learning_rate,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,train/ent_coef_loss,time/time_elapsed,eval/mean_ep_length,eval/mean_reward
-3.459120273590088,200,0.9420239329338074,301,0.0003,22,4,75.25,24.9866175,0.1543993204832077,-0.2004822939634323,13,,
-4.473803520202637,488,0.8640414476394653,589,0.0003,22,8,73.625,20.640404375000003,0.06148073077201843,-0.4905032515525818,26,,
-5.630193710327148,770,0.793945848941803,871,0.0003,22,12,72.58333333333333,20.765774333333336,0.3376883864402771,-0.7768570184707642,39,,
-6.54554557800293,899,0.7637958526611328,1000,0.0003,,,,,0.060521699488162994,-0.9059739708900452,,213.6,100.02763607235246
-7.274946212768555,1092,0.720837414264679,1193,0.0003,16,16,74.5625,19.949543875000003,0.143471360206604,-1.103625774383545,71,,
-8.626100540161133,1319,0.6733847856521606,1420,0.0003,17,20,71.0,21.558935050000002,0.1291373074054718,-1.331114411354065,82,,
-9.550027847290039,1567,0.6251121163368225,1668,0.0003,17,24,69.5,20.629017125,0.1207130029797554,-1.575842022895813,94,,
-10.272567749023438,1848,0.5745872259140015,1949,0.0003,18,28,69.60714285714286,21.285070321428574,0.15886588394641876,-1.8710181713104248,107,,
-10.242366790771484,1899,0.565872073173523,2000,0.0003,,,,,0.15454795956611633,-1.9058854579925537,,181.8,106.54819973565682
-10.950372695922852,2027,0.5445743203163147,2128,0.0003,15,32,66.5,20.265204625000003,0.15664389729499817,-2.0496950149536133,133,,
-11.936761856079102,2229,0.5125842094421387,2330,0.0003,16,36,64.72222222222223,20.482137861111116,0.341972291469574,-2.2326302528381348,144,,
-12.979423522949219,2531,0.468275785446167,2632,0.0003,16,40,65.8,20.625898175,0.30080583691596985,-2.5608625411987305,157,,
-13.660158157348633,2715,0.44320613145828247,2816,0.0003,16,44,64.0,20.29319018181818,0.28120726346969604,-2.732640266418457,167,,
-13.846871376037598,2899,0.4195086658000946,3000,0.0003,,,,,0.22229354083538055,-2.9125447273254395,,116.8,58.118445499035076
-13.95753288269043,2949,0.41329824924468994,3050,0.0003,15,48,63.541666666666664,20.483665854166667,0.23823758959770203,-2.9281508922576904,192,,
-14.942291259765625,3188,0.3848682940006256,3289,0.0003,16,52,63.25,20.915336173076927,0.2748674154281616,-3.1868085861206055,203,,
-14.782818794250488,3383,0.36315038800239563,3484,0.0003,16,56,62.214285714285715,20.990170410714285,0.26246604323387146,-3.3680577278137207,214,,
-15.153173446655273,3591,0.3413461148738861,3692,0.0003,16,60,61.53333333333333,21.17186463333333,0.5255824327468872,-3.568671226501465,225,,
-15.751349449157715,3790,0.32177016139030457,3891,0.0003,16,64,60.796875,21.389108578125,0.5022860169410706,-3.703342914581299,235,,
-16.08860969543457,3899,0.31155475974082947,4000,0.0003,,,,,0.356642484664917,-3.8583474159240723,,130.0,64.60061251761181
