time/episodes,train/ent_coef,train/learning_rate,rollout/ep_len_mean,time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/fps,train/n_updates,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,eval/mean_reward,eval/mean_ep_length
4,0.9657750129699707,0.0003,54.5,218,0.3146824240684509,-0.11713600158691406,20,117,-3.532606601715088,41.046489,10,,
8,0.9103240966796875,0.0003,51.875,415,0.07171261310577393,-0.3163514733314514,19,314,-4.616081237792969,38.768164125,21,,
12,0.8673997521400452,0.0003,48.0,576,0.04366893693804741,-0.4807121455669403,18,475,-5.619466781616211,32.39191516666667,30,,
16,0.8292202949523926,0.0003,45.375,726,0.08279666304588318,-0.6311660408973694,18,625,-6.284397125244141,29.866156,39,,
20,0.7922587990760803,0.0003,43.9,878,0.07181400060653687,-0.7859828472137451,18,777,-7.245885848999023,27.736037749999998,48,,
,0.7637916207313538,0.0003,,1000,0.0780663788318634,-0.908011794090271,,899,-7.518576622009277,,,85.17851712248994,134.8
24,0.7490473389625549,0.0003,44.375,1065,0.1301632672548294,-0.969007134437561,14,964,-8.170961380004883,27.24795125,73,,
28,0.7167321443557739,0.0003,43.285714285714285,1212,0.1638384610414505,-1.1230459213256836,14,1111,-9.023354530334473,25.902326785714287,82,,
32,0.6796689629554749,0.0003,43.40625,1389,0.13038021326065063,-1.3081611394882202,15,1288,-9.253013610839844,25.83266271875,92,,
36,0.6433526277542114,0.0003,43.666666666666664,1572,0.8474836349487305,-1.4907441139221191,15,1471,-11.393318176269531,26.456983194444444,102,,
40,0.6220960021018982,0.0003,42.1,1684,0.3449743986129761,-1.5966160297393799,15,1583,-11.549046516418457,24.812756725,110,,
44,0.5950847864151001,0.0003,41.63636363636363,1832,0.2985466718673706,-1.7426979541778564,15,1731,-11.278274536132812,24.12092040909091,119,,
,0.5658357739448547,0.0003,,2000,0.5904251337051392,-1.9163821935653687,,1899,-12.78018569946289,,,104.61353769965353,128.2
48,0.559923529624939,0.0003,42.395833333333336,2035,0.38137286901474,-1.9582531452178955,14,1934,-12.324447631835938,24.39963602083333,143,,
52,0.537216305732727,0.0003,41.78846153846154,2173,0.48038166761398315,-2.096525192260742,14,2072,-13.119547843933105,23.48678694230769,152,,
56,0.5114279985427856,0.0003,41.732142857142854,2337,0.27929794788360596,-2.2503347396850586,14,2236,-13.746658325195312,23.764586696428573,162,,
60,0.4882126450538635,0.0003,41.53333333333333,2492,0.5356361865997314,-2.4070444107055664,14,2391,-14.532867431640625,23.946445533333335,171,,
64,0.46815821528434753,0.0003,41.125,2632,0.3021466135978699,-2.5414586067199707,14,2531,-15.123335838317871,23.54655690625,180,,
68,0.447098046541214,0.0003,40.970588235294116,2786,0.4967249631881714,-2.687840461730957,14,2685,-15.271856307983398,23.826155014705883,189,,
72,0.42437341809272766,0.0003,41.125,2961,1.1964443922042847,-2.858757495880127,14,2860,-15.54659652709961,24.123901000000004,199,,
,0.4194850027561188,0.0003,,3000,0.49786004424095154,-2.9175686836242676,,2899,-16.35875701904297,,,68.51182822901065,100.0
76,0.4016733467578888,0.0003,41.39473684210526,3146,0.41461488604545593,-3.022146701812744,14,3045,-17.329299926757812,24.58508565789474,221,,
80,0.3800935745239258,0.0003,41.65,3332,0.8727203607559204,-3.228344678878784,14,3231,-16.360610961914062,25.103823662499998,232,,
84,0.35973629355430603,0.0003,41.88095238095238,3518,0.6251844167709351,-3.30143141746521,14,3417,-18.319990158081055,25.451292654761904,242,,
88,0.3430801033973694,0.0003,41.80681818181818,3679,0.8143282532691956,-3.5098977088928223,14,3578,-18.666091918945312,25.503874386363638,251,,
92,0.32435664534568787,0.0003,42.06521739130435,3870,1.2288055419921875,-3.60827374458313,14,3769,-19.545970916748047,26.062495565217393,261,,
,0.3122483789920807,0.0003,,4000,2.4197998046875,-3.7598209381103516,,3899,-19.533130645751953,,,127.4761785572875,125.2
96,0.30880966782569885,0.0003,42.0625,4038,0.7669639587402344,-3.761169195175171,14,3937,-20.194698333740234,26.324986927083334,285,,
100,0.2927626669406891,0.0003,42.22,4222,0.8856233358383179,-3.9558844566345215,14,4121,-19.194822311401367,26.751349740000002,295,,
104,0.2786564826965332,0.0003,41.75,4393,1.1385849714279175,-4.0447869300842285,14,4292,-19.889986038208008,26.59150998,305,,
108,0.26365575194358826,0.0003,41.7,4585,1.4195929765701294,-4.110838890075684,14,4484,-21.338319778442383,27.088271419999998,315,,
112,0.2484908103942871,0.0003,42.15,4791,2.0079727172851562,-4.35849666595459,14,4690,-21.111007690429688,28.232188850000004,326,,
116,0.2357422560453415,0.0003,42.5,4976,1.1051948070526123,-4.317330360412598,14,4875,-21.907655715942383,28.932102050000005,336,,
,0.23413996398448944,0.0003,,5000,0.9117685556411743,-4.471752166748047,,4899,-21.10883140563965,,,183.23619981164666,195.0
120,0.22048141062259674,0.0003,43.35,5213,1.0393750667572021,-4.298838138580322,14,5112,-23.040424346923828,29.951539200000003,365,,
124,0.207746222615242,0.0003,43.59,5424,1.3058744668960571,-4.511369705200195,14,5323,-23.621845245361328,30.889195980000004,375,,
128,0.19288933277130127,0.0003,44.75,5687,1.0147955417633057,-4.731259346008301,14,5586,-21.785938262939453,32.380244129999994,388,,
132,0.18137161433696747,0.0003,45.19,5908,1.237837553024292,-4.858773708343506,14,5807,-22.593053817749023,33.311001059999995,399,,
,0.17675484716892242,0.0003,,6000,1.3837106227874756,-4.782564163208008,,5899,-21.836360931396484,,,128.14554914970685,143.6
136,0.16988199949264526,0.0003,45.71,6143,1.2858619689941406,-4.847698211669922,14,6042,-24.30014419555664,34.25367525,425,,
140,0.15959258377552032,0.0003,46.85,6369,1.3067457675933838,-4.626220703125,14,6268,-25.726009368896484,36.106212219999996,436,,
144,0.15205173194408417,0.0003,47.14,6546,1.1357383728027344,-4.762752056121826,14,6445,-25.887420654296875,36.93962938,446,,
148,0.14383845031261444,0.0003,47.19,6754,0.9706645011901855,-4.646152973175049,14,6653,-23.63370132446289,37.9765913,457,,
152,0.1358083039522171,0.0003,47.98,6971,1.0359489917755127,-4.655583381652832,14,6870,-26.489294052124023,39.68011926,468,,
,0.13477659225463867,0.0003,,7000,1.0678141117095947,-5.028741836547852,,6899,-26.546464920043945,,,190.45522186955242,152.6
156,0.12769606709480286,0.0003,48.68,7205,1.5421812534332275,-4.618560314178467,14,7104,-27.846982955932617,41.00508721,495,,
