train/n_updates,time/fps,train/actor_loss,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,time/episodes,train/critic_loss,time/time_elapsed,train/learning_rate,train/ent_coef_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
196,22,-3.748794317,54.37504475,74.25,297,4,0.023586492985486984,12,0.0003,-0.196615934,0.943160355,,
434,21,-4.635389328,47.21833,66.875,535,8,0.036813948303461075,24,0.0003,-0.435867518,0.8781558275222778,,
684,21,-6.40042305,41.799384333333336,65.41666666666667,785,12,0.033041004091501236,36,0.0003,-0.690585732,0.8147133588790894,,
899,,-7.0172472,,,1000,,0.028177812695503235,,0.0003,-0.901656032,0.7638322710990906,244.6,173.91406924341354
1079,16,-8.751648903,44.485477312499995,73.75,1180,16,0.044543553,73,0.0003,-1.087238312,0.7236906290054321,,
1363,16,-9.854989052,43.469157599999996,73.2,1464,20,0.05032216,86,0.0003,-1.373156071,0.6645843386650085,,
1566,17,-11.35851288,40.85497158333333,69.45833333333333,1667,24,0.08897198,97,0.0003,-1.578880668,0.6253177523612976,,
1899,,-12.2914257,,,2000,,0.084679529,,0.0003,-1.915271044,0.5658626556396484,245.8,173.19958543936664
,15,,42.76696685714286,71.42857142857143,2000,28,,131,,,,,
2198,15,-14.21045685,43.41887522,71.84375,2299,32,0.091951653,145,0.0003,-2.218418837,0.517309844,,
2424,16,-14.85486412,42.62950161111112,70.13888888888889,2525,36,0.11514025181531906,157,0.0003,-2.446016312,0.4833884835243225,,
2686,16,-15.35819244,42.164716850000005,69.675,2787,40,0.11665172129869461,169,0.0003,-2.70168972,0.4468364715576172,,
2899,,-16.69428444,,,3000,,0.1346219778060913,,0.0003,-2.943306446,0.41918185353279114,242,174.34125112504407
2937,15,-16.95364761,42.76621470454546,69.04545454545455,3038,44,0.14202658832073212,201,0.0003,-2.967877388,0.4144275188446045,,
3129,15,-16.69449806,41.55941827083333,67.29166666666667,3230,48,0.1711273193359375,212,0.0003,-3.155397177,0.39123499393463135,,
3304,15,-18.28777122,40.54894557692308,65.48076923076923,3405,52,0.14882588386535645,222,0.0003,-3.321161747,0.37123024463653564,,
3522,15,-18.07332039,39.629734910714284,64.69642857142857,3623,56,0.1820705235004425,233,0.0003,-3.547801256,0.3477303087711334,,
3795,15,-19.46504974,39.44288288333333,64.93333333333334,3896,60,0.21490216255187988,246,0.0003,-3.828724861,0.320391983,,
3899,,-19.75862694,,,4000,,0.18794621527194977,,0.0003,-3.938912153,0.31055203080177307,242.2,164.27657650105394
4043,14,-19.09749031,39.00314753,64.75,4144,64,0.20385976135730743,278,0.0003,-4.086287975,0.297419935,,
4374,15,-20.07597351,38.90573855882354,65.80882352941177,4475,68,0.26106175780296326,293,0.0003,-4.373729706,0.26932427287101746,,
4662,15,-20.227911,39.567612097222224,66.15277777777777,4763,72,0.3353000283241272,306,0.0003,-4.682097435,0.2470702826976776,,
4859,15,-20.43680382,39.33718397368421,65.26315789473684,4960,76,0.27650153636932373,317,0.0003,-4.88895607,0.2329200953245163,,
4899,,-20.57870483,,,5000,,0.34939688444137573,,0.0003,-4.904134274,0.23014631867408752,191.2,164.5129004
5050,14,-20.30994225,39.09045889,64.3875,5151,80,0.3340039551258087,344,0.0003,-5.075800419,0.2199755758047104,,
5392,15,-21.1366806,39.50787853571428,65.39285714285714,5493,84,0.3528096377849579,359,0.0003,-5.394532204,0.19856971502304077,,
5651,15,-21.07666397,39.73934145454545,65.36363636363636,5752,88,0.3795676529407501,372,0.0003,-5.547142029,0.18383927643299103,,
5899,,-23.32824707,,,6000,,0.39287760853767395,,0.0003,-5.834438324,0.17088031768798828,132,137.74038578653781
5972,15,-21.65966988,40.83630715217391,66.01086956521739,6073,92,0.42179709672927856,400,0.0003,-5.88774395,0.16726228594779968,,
6140,15,-22.18587303,40.81161202083334,65.01041666666667,6241,96,0.4028428792953491,410,0.0003,-5.821815491,0.1592726707458496,,
6295,15,-22.43039894,40.73503212000001,63.96,6396,100,0.46948879957199097,420,0.0003,-5.76034832,0.1523686945438385,,
6458,15,-22.66773987,40.07649557,62.62,6559,104,0.49256253242492676,429,0.0003,-6.023126602,0.14549222588539124,,
6632,15,-23.08190918,40.038661090000005,61.98,6733,108,0.45833995938301086,439,0.0003,-6.003772736,0.13848432898521423,,
6782,15,-22.40187454,40.132787109999995,60.98,6883,112,0.47780019,449,0.0003,-5.938930511,0.13273988664150238,,
6899,,-22.10939026,,,7000,,0.4131460189819336,,0.0003,-5.991176605,0.1284499317407608,96.8,124.10517889860493
6931,14,-22.98077202,39.26736578,58.52,7032,116,0.4768036901950836,470,0.0003,-6.031665802,0.12730886042118073,,
7067,14,-22.36853027,38.97788316,57.04,7168,120,0.47797369956970215,479,0.0003,-6.174376488,0.12261384725570679,,
7205,14,-23.43891907,39.22262354,56.39,7306,124,0.4660722017288208,488,0.0003,-6.473986626,0.11802872270345688,,
7347,14,-22.36172485,38.442279649999996,54.48,7448,128,0.4614683985710144,497,0.0003,-6.028566837,0.11349290609359741,,
7474,14,-23.07558632,37.76711659,52.76,7575,132,0.5165350437164307,506,0.0003,-6.109416485,0.10956289619207382,,
7614,14,-23.7991333,37.552664809999996,51.9,7715,136,0.4807620346546173,515,0.0003,-6.267772675,0.10534073412418365,,
7737,14,-25.07051468,37.2728363,50.51,7838,140,0.5523220300674438,523,0.0003,-6.685884953,0.10178810358047485,,
7869,14,-22.42253494,36.61970386,49.32,7970,144,0.5458285212516785,532,0.0003,-6.609050274,0.098052606,,
7899,,-24.29182816,,,8000,,0.49803850054740906,,0.0003,-6.646230698,0.097209752,86.6,109.61854665667343
8015,14,-22.82737732,36.87503409,48.86,8116,148,0.5130754113197327,553,0.0003,-6.677243233,0.093995228,,
8138,14,-22.89164734,36.75749905,48.34,8239,152,0.4856754243373871,561,0.0003,-6.709685802,0.090680659,,
8258,14,-21.86056137,36.794445059999994,47.36,8359,156,0.44273385405540466,570,0.0003,-6.877188683,0.08756315,,
8378,14,-23.93438339,36.42977291999999,45.83,8479,160,0.5078879594802856,578,0.0003,-6.899720192,0.084531009,,
8514,14,-22.83503342,36.26379595,44.71,8615,164,0.476296991,587,0.0003,-7.381999969,0.081205636,,
8670,14,-24.75598717,36.31366542999999,42.96,8771,168,0.5698963403701782,596,0.0003,-7.145591736,0.077566728,,
8861,14,-21.78191948,36.6351404,41.99,8962,172,0.48898205161094666,607,0.0003,-7.311448097,0.073362485,,
8899,,-23.68952179,,,9000,,0.49269670248031616,,0.0003,-7.176167011,0.07256411,133.2,172.20279010728336
9131,14,-22.52329636,37.95440501,42.72,9232,176,0.520823061,634,0.0003,-7.235067844,0.067887217,,
9370,14,-22.30282974,38.94718717,43.2,9471,180,0.5496293306350708,646,0.0003,-7.591510773,0.06352023,,
9559,14,-22.3128891,39.289094229999996,41.67,9660,184,0.4864811897277832,656,0.0003,-6.68652153,0.060402315109968185,,
9804,14,-23.03752327,40.41564149,41.53,9905,188,0.5319554805755615,668,0.0003,-6.469917297,0.056630235,,
9899,,-22.81700134,,,10000,,0.5904873609542847,,0.0003,-6.57656002,0.055273626,156,182.5574086692621
10066,14,-22.78279495,40.98743761,40.94,10167,192,0.512668252,696,0.0003,-5.974104404,0.053024031,,
10262,14,-23.12453842,41.882251270000005,41.22,10363,196,0.5344870090484619,707,0.0003,-5.908374786,0.050648168,,
10439,14,-23.03508377,42.715522039999996,41.44,10540,200,0.5655004382133484,717,0.0003,-4.900578499,0.048724033,,
10566,14,-21.24516296,42.77049047,41.08,10667,204,0.5157436728477478,726,0.0003,-4.609817505,0.047461789,,
10714,14,-22.53811264,43.23141554,40.82,10815,208,0.5182743072509766,735,0.0003,-5.097513199,0.045982312,,
10885,14,-21.98945236,43.9907659,41.03,10986,212,0.5427060723304749,745,0.0003,-4.611894131,0.044298567,,
10899,,-23.86393356,,,11000,,0.5440254807472229,,0.0003,-4.775342464,0.044164773,142.6,244.74691170757723
11086,14,-23.05721855,45.61601594,41.55,11187,216,0.5047488808631897,770,0.0003,-4.633844376,0.042387266,,
11250,14,-22.08579254,46.62227213999999,41.83,11351,220,0.49027717113494873,780,0.0003,-4.657981873,0.040926992893218994,,
11425,14,-21.92804146,47.41729646999999,42.2,11526,224,0.49205175042152405,790,0.0003,-3.682050228,0.03942351,,
11623,14,-21.91892624,48.95695037,42.76,11724,228,0.5239309668540955,801,0.0003,-3.076085806,0.037842147052288055,,
11850,14,-22.18835068,51.43190075999999,43.76,11951,232,0.5787691473960876,813,0.0003,-2.347921371,0.036187235,,
11899,,-23.61983299,,,12000,,0.4942881762981415,,0.0003,-3.129542351,0.035857733339071274,116.6,184.31712118695867
12088,14,-22.26978302,54.074300660000006,44.74,12189,236,0.48644956946372986,838,0.0003,-2.789284706,0.034609314,,
12287,14,-23.95114899,55.814012160000004,45.5,12388,240,0.5030175447463989,849,0.0003,-1.575148344,0.033422418,,
12478,14,-24.04102135,57.27088613000001,46.09,12579,244,0.4496774673461914,859,0.0003,-2.323577166,0.032310847,,
12689,14,-24.97912598,58.89798549,46.74,12790,248,0.4155969023704529,870,0.0003,-2.114644289,0.031182928010821342,,
12899,,-23.66935539,,,13000,,0.3886699676513672,,0.0003,-1.368379951,0.030132333,141.6,216.48358275849097
,14,,60.89326118000001,47.61,13000,252,,896,,,,,
13110,14,-23.76989365,63.020754040000014,48.52,13211,256,0.3839956820011139,907,0.0003,-1.624763966,0.029115760698914528,,
13322,14,-25.2346077,65.42901327,49.44,13423,260,0.35465818643569946,918,0.0003,-0.99674052,0.028258878737688065,,
13524,14,-25.49811172,67.50210019,50.1,13625,264,0.4116710424423218,929,0.0003,-1.087197781,0.027634539,,
13715,14,-25.47933197,68.8939065,50.45,13816,268,0.3750685155391693,940,0.0003,-0.468456358,0.027162455022335052,,
13899,,-26.44444847,,,14000,,0.38488495349884033,,0.0003,-1.06413734,0.026905030012130737,138,273.6933981928829
13967,14,-25.56973648,70.64248685000001,51.06,14068,272,0.3330852687358856,966,0.0003,0.28148582577705383,0.026810355484485626,,
14165,14,-25.97153473,71.20053401,50.34,14266,276,0.3544459640979767,977,0.0003,0.647787869,0.026640547439455986,,
14322,14,-26.34425354,71.22394312,49.52,14423,280,0.3286988437175751,987,0.0003,0.8024452328681946,0.026684077456593513,,
14485,14,-26.08320999,71.69943789000001,49.26,14586,284,0.3156511187553406,996,0.0003,-0.422224253,0.027008332312107086,,
14654,14,-28.32144928,71.69778419000001,48.5,14755,288,0.35801568627357483,1006,0.0003,1.4849921464920044,0.027533089742064476,,
14842,14,-27.43074608,71.94581124999999,47.76,14943,292,0.3563553988933563,1017,0.0003,1.6090328693389893,0.028403956443071365,,
14899,,-27.67518616,,,15000,,0.3377460539340973,,0.0003,1.7999076843261719,0.028742451,135.6,287.8977144725133
15046,14,-29.2607193,73.03547456999999,47.84,15147,296,0.36413291096687317,1042,0.0003,1.0164647102355957,0.029626723378896713,,
15205,14,-28.94018936,73.28037813,47.66,15306,300,0.3108927011489868,1051,0.0003,0.8950139880180359,0.030750764533877373,,
15383,14,-28.48318863,74.91031032,48.17,15484,304,0.38424789905548096,1062,0.0003,1.2354496717453003,0.032112706,,
15553,14,-30.30023956,75.65166828000001,48.39,15654,308,0.32298776507377625,1071,0.0003,0.9129207730293274,0.033567227,,
